timepoint,padj_cutoff,l2fc_cutoff,.metric,.estimator,.estimate,model,truth,num_correct_tp,num_incorrect_fp
3,0.5,0.5,precision,binary,0.07390983000739099,FIT,up,200,273
3,0.5,1,precision,binary,0,FIT,up,0,15
7,0.05,0,precision,binary,0.0661053385883196,FIT,up,369,48
7,0.05,0.1,precision,binary,0.06623470122390208,FIT,up,368,49
7,0.05,0.5,precision,binary,0.07430774623203645,FIT,up,212,188
7,0.05,1,precision,binary,0.003401360544217687,FIT,up,1,28
7,0.1,0,precision,binary,0.09593326381647549,FIT,up,552,53
7,0.1,0.1,precision,binary,0.09610344225056788,FIT,up,550,55
7,0.1,0.5,precision,binary,0.09769713886950454,FIT,up,280,249
7,0.1,1,precision,binary,0.003401360544217687,FIT,up,1,28
7,0.2,0,precision,binary,0.14187374076561451,FIT,up,845,51
7,0.2,0.1,precision,binary,0.14174691670890352,FIT,up,839,57
7,0.2,0.5,precision,binary,0.10721721027064539,FIT,up,309,285
7,0.2,1,precision,binary,0.003389830508474576,FIT,up,1,28
7,0.3,0,precision,binary,0.18487949818421923,FIT,up,1120,59
7,0.3,0.1,precision,binary,0.18512974051896208,FIT,up,1113,66
7,0.3,0.5,precision,binary,0.10721721027064539,FIT,up,309,288
7,0.3,1,precision,binary,0.003389830508474576,FIT,up,1,28
7,0.4,0,precision,binary,0.2301173402868318,FIT,up,1412,53
7,0.4,0.1,precision,binary,0.2305793285055958,FIT,up,1401,64
7,0.4,0.5,precision,binary,0.10718002081165452,FIT,up,309,288
7,0.4,1,precision,binary,0.003389830508474576,FIT,up,1,28
7,0.5,0,precision,binary,0.2734918324437975,FIT,up,1691,47
7,0.5,0.1,precision,binary,0.2741856277623179,FIT,up,1675,63
7,0.5,0.5,precision,binary,0.10714285714285714,FIT,up,309,288
7,0.5,1,precision,binary,0.003389830508474576,FIT,up,1,28
1,0.05,0,recall,binary,0.8840816326530613,FIT,up,1083,142
1,0.05,0.1,recall,binary,0.8751020408163265,FIT,up,1072,153
1,0.05,0.5,recall,binary,0.45957820738137084,FIT,up,523,615
1,0.05,1,recall,binary,0.02,FIT,up,4,196
1,0.1,0,recall,binary,0.9065860215053764,FIT,up,1349,139
1,0.1,0.1,recall,binary,0.8971774193548387,FIT,up,1335,153
1,0.1,0.5,recall,binary,0.43919442292796285,FIT,up,567,724
1,0.1,1,recall,binary,0.02,FIT,up,4,196
1,0.2,0,recall,binary,0.9349371241115364,FIT,up,1710,119
1,0.2,0.1,recall,binary,0.9223619464188081,FIT,up,1687,142
1,0.2,0.5,recall,binary,0.4341142020497804,FIT,up,593,773
1,0.2,1,recall,binary,0.02,FIT,up,4,196
1,0.3,0,recall,binary,0.9482431149097815,FIT,up,1997,109
1,0.3,0.1,recall,binary,0.9320987654320988,FIT,up,1963,143
1,0.3,0.5,recall,binary,0.4341142020497804,FIT,up,593,773
1,0.3,1,recall,binary,0.02,FIT,up,4,196
1,0.4,0,recall,binary,0.9656050955414013,FIT,up,2274,81
1,0.4,0.1,recall,binary,0.9460721868365181,FIT,up,2228,127
1,0.4,0.5,recall,binary,0.43484626647144947,FIT,up,594,772
1,0.4,1,recall,binary,0.02,FIT,up,4,196
1,0.5,0,recall,binary,0.974191063174114,FIT,up,2529,67
1,0.5,0.1,recall,binary,0.9526011560693641,FIT,up,2472,123
1,0.5,0.5,recall,binary,0.43484626647144947,FIT,up,594,772
1,0.5,1,recall,binary,0.02,FIT,up,4,196
3,0.05,0,recall,binary,0.8532818532818532,FIT,up,221,38
3,0.05,0.1,recall,binary,0.8532818532818532,FIT,up,221,38
3,0.05,0.5,recall,binary,0.44176706827309237,FIT,up,110,139
3,0.05,1,recall,binary,0,FIT,up,0,15
3,0.1,0,recall,binary,0.8843373493975903,FIT,up,367,48
3,0.1,0.1,recall,binary,0.8771084337349397,FIT,up,364,51
3,0.1,0.5,recall,binary,0.4243243243243243,FIT,up,157,213
3,0.1,1,recall,binary,0,FIT,up,0,15
3,0.2,0,recall,binary,0.930298719772404,FIT,up,654,49
3,0.2,0.1,recall,binary,0.9260312944523471,FIT,up,651,52
3,0.2,0.5,recall,binary,0.4248927038626609,FIT,up,198,268
3,0.2,1,recall,binary,0,FIT,up,0,15
3,0.3,0,recall,binary,0.9435146443514645,FIT,up,902,54
3,0.3,0.1,recall,binary,0.9351464435146444,FIT,up,894,62
3,0.3,0.5,recall,binary,0.42283298097251587,FIT,up,200,273
3,0.3,1,recall,binary,0,FIT,up,0,15
3,0.4,0,recall,binary,0.9650690495532088,FIT,up,1188,43
3,0.4,0.1,recall,binary,0.9528838342810723,FIT,up,1173,58
3,0.4,0.5,recall,binary,0.42283298097251587,FIT,up,200,273
3,0.4,1,recall,binary,0,FIT,up,0,15
3,0.5,0,recall,binary,0.9742233972240582,FIT,up,1474,39
3,0.5,0.1,recall,binary,0.9583608724388631,FIT,up,1450,63
3,0.5,0.5,recall,binary,0.42283298097251587,FIT,up,200,273
3,0.5,1,recall,binary,0,FIT,up,0,15
7,0.05,0,recall,binary,0.8848920863309353,FIT,up,369,48
7,0.05,0.1,recall,binary,0.882494004796163,FIT,up,368,49
7,0.05,0.5,recall,binary,0.53,FIT,up,212,188
7,0.05,1,recall,binary,0.034482758620689655,FIT,up,1,28
7,0.1,0,recall,binary,0.912396694214876,FIT,up,552,53
7,0.1,0.1,recall,binary,0.9090909090909091,FIT,up,550,55
7,0.1,0.5,recall,binary,0.5293005671077504,FIT,up,280,249
7,0.1,1,recall,binary,0.034482758620689655,FIT,up,1,28
7,0.2,0,recall,binary,0.9430803571428571,FIT,up,845,51
7,0.2,0.1,recall,binary,0.9363839285714286,FIT,up,839,57
7,0.2,0.5,recall,binary,0.5202020202020202,FIT,up,309,285
7,0.2,1,recall,binary,0.034482758620689655,FIT,up,1,28
7,0.3,0,recall,binary,0.9499575911789653,FIT,up,1120,59
7,0.3,0.1,recall,binary,0.9440203562340967,FIT,up,1113,66
7,0.3,0.5,recall,binary,0.5175879396984925,FIT,up,309,288
7,0.3,1,recall,binary,0.034482758620689655,FIT,up,1,28
7,0.4,0,recall,binary,0.9638225255972697,FIT,up,1412,53
7,0.4,0.1,recall,binary,0.9563139931740614,FIT,up,1401,64
7,0.4,0.5,recall,binary,0.5175879396984925,FIT,up,309,288
7,0.4,1,recall,binary,0.034482758620689655,FIT,up,1,28
7,0.5,0,recall,binary,0.9729574223245109,FIT,up,1691,47
7,0.5,0.1,recall,binary,0.9637514384349828,FIT,up,1675,63
7,0.5,0.5,recall,binary,0.5175879396984925,FIT,up,309,288
7,0.5,1,recall,binary,0.034482758620689655,FIT,up,1,28
1,0.05,0,f_meas,binary,0.3186700014712373,FIT,up,1083,142
1,0.05,0.1,f_meas,binary,0.31730057717922155,FIT,up,1072,153
1,0.05,0.5,f_meas,binary,0.28752061572292464,FIT,up,523,615
1,0.05,1,f_meas,binary,0.01951219512195122,FIT,up,4,196
1,0.1,0,f_meas,binary,0.3730641592920354,FIT,up,1349,139
1,0.1,0.1,f_meas,binary,0.37176274018379285,FIT,up,1335,153
1,0.1,0.5,f_meas,binary,0.29810725552050477,FIT,up,567,724
1,0.1,1,f_meas,binary,0.01951219512195122,FIT,up,4,196
1,0.2,0,f_meas,binary,0.439871382636656,FIT,up,1710,119
1,0.2,0.1,f_meas,binary,0.4377838328792008,FIT,up,1687,142
1,0.2,0.5,f_meas,binary,0.30496271535098995,FIT,up,593,773
1,0.2,1,f_meas,binary,0.01951219512195122,FIT,up,4,196
1,0.3,0,f_meas,binary,0.48982094677458915,FIT,up,1997,109
1,0.3,0.1,f_meas,binary,0.48649318463444857,FIT,up,1963,143
1,0.3,0.5,f_meas,binary,0.30496271535098995,FIT,up,593,773
1,0.3,1,f_meas,binary,0.01951219512195122,FIT,up,4,196
1,0.4,0,f_meas,binary,0.5361942937986324,FIT,up,2274,81
1,0.4,0.1,f_meas,binary,0.5319961795606495,FIT,up,2228,127
1,0.4,0.5,f_meas,binary,0.30539845758354756,FIT,up,594,772
1,0.4,1,f_meas,binary,0.01951219512195122,FIT,up,4,196
1,0.5,0,f_meas,binary,0.5767388825541618,FIT,up,2529,67
1,0.5,0.1,f_meas,binary,0.5719574271170754,FIT,up,2472,123
1,0.5,0.5,f_meas,binary,0.30539845758354756,FIT,up,594,772
1,0.5,1,f_meas,binary,0.01951219512195122,FIT,up,4,196
3,0.05,0,f_meas,binary,0.07574978577549271,FIT,up,221,38
3,0.05,0.1,f_meas,binary,0.07624633431085043,FIT,up,221,38
3,0.05,0.5,f_meas,binary,0.07518796992481204,FIT,up,110,139
3,0.05,1,f_meas,binary,0,FIT,up,0,15
3,0.1,0,f_meas,binary,0.11909784196008437,FIT,up,367,48
3,0.1,0.1,f_meas,binary,0.1189542483660131,FIT,up,364,51
3,0.1,0.5,f_meas,binary,0.10251387528566765,FIT,up,157,213
3,0.1,1,f_meas,binary,0,FIT,up,0,15
3,0.2,0,f_meas,binary,0.19660303622425976,FIT,up,654,49
3,0.2,0.1,f_meas,binary,0.1972129657679491,FIT,up,651,52
3,0.2,0.5,f_meas,binary,0.12492113564668769,FIT,up,198,268
3,0.2,1,f_meas,binary,0,FIT,up,0,15
3,0.3,0,f_meas,binary,0.25738336424596947,FIT,up,902,54
3,0.3,0.1,f_meas,binary,0.25745140388768895,FIT,up,894,62
3,0.3,0.5,f_meas,binary,0.12590494176896444,FIT,up,200,273
3,0.3,1,f_meas,binary,0,FIT,up,0,15
3,0.4,0,f_meas,binary,0.32273838630806845,FIT,up,1188,43
3,0.4,0.1,f_meas,binary,0.3222527472527472,FIT,up,1173,58
3,0.4,0.5,f_meas,binary,0.12586532410320958,FIT,up,200,273
3,0.4,1,f_meas,binary,0,FIT,up,0,15
3,0.5,0,f_meas,binary,0.3833051618775192,FIT,up,1474,39
3,0.5,0.1,f_meas,binary,0.3818301514154049,FIT,up,1450,63
3,0.5,0.5,f_meas,binary,0.12582573136206357,FIT,up,200,273
3,0.5,1,f_meas,binary,0,FIT,up,0,15
7,0.05,0,f_meas,binary,0.12302050341723621,FIT,up,369,48
7,0.05,0.1,f_meas,binary,0.12322116189519504,FIT,up,368,49
7,0.05,0.5,f_meas,binary,0.1303412234860129,FIT,up,212,188
