MM.Entrez,EffectSize
20924,-0.006780226
54624,-0.169775255
66525,0.210901327
67224,0.116221045
12121,0.399842811
59287,0.031166121
19298,-0.130593914
105653,-1.261497079
12922,-0.532082035
21743,-0.809378588
72054,-0.446970734
23917,-0.474670359
72349,-0.374412931
19125,0.065454378
27886,0.01584147
13358,0.365499174
13353,0.079844019
12305,0.01379466
15937,-0.238297894
14282,-0.216770356
74764,0.190094452
13870,0.069407673
57344,-0.192963252
26558,-0.332359632
382056,0.077744292
71673,-0.362144993
67815,0.44375589
74268,0.208779208
12870,-0.009478653
74114,-0.095408831
20111,0.219912617
320632,0.030924985
26371,-0.083712947
15116,0.42902401
67706,0.033120045
225895,0.033120045
72999,-0.055755237
16650,-0.071476432
17155,0.233619218
233011,-0.02644122
76889,0.327277853
78656,0.065682419
19348,0.769720817
66590,0.186223709
270076,0.003978618
17776,-0.069679243
13423,0.389217141
19358,-0.087906652
12317,-0.037161936
71846,0.28374904
54446,-0.108985256
67619,0.191564116
18104,-0.580289858
14936,0.420483974
20174,-0.155999378
12028,0.148459722
16197,-0.778170758
21780,0.093871891
224694,-0.229521758
13643,-0.049983368
67468,0.029717387
217082,-0.731843228
70186,0.350623918
26961,0.418663418
66970,0.206457996
67030,0.07679415
240843,1.094822211
14866,-0.371145693
68312,-0.329713896
14864,-1.056103653
20848,0.443122936
20850,-0.023379953
19285,-0.555025168
26403,-0.332670046
11652,0.227621722
83945,0.043593076
15369,-0.023810815
66626,0.016270041
65964,-0.088244527
66070,-0.146480785
53867,1.104932636
13433,-0.07433035
235036,0.591034272
26360,-0.309966484
12290,-0.524211176
12287,0.671134276
108943,0.414747089
14009,-0.025233826
16581,-0.092574967
19156,-0.012499723
16151,-0.293963266
70560,0.014930376
13498,-0.022527097
12034,0.396545136
15170,-0.06686124
13807,0.845883471
14791,-0.043826675
14792,0.165999125
66144,0.105558081
16160,0.005999125
12728,0.519462078
12725,0.198973504
53417,0.366977923
18575,-0.214302623
70683,0.0961744
20728,0.461494186
212448,-0.59679888
26554,0.023053873
16156,0.592311242
16795,0.387162079
52513,0.1954651
103694,-0.131269565
140709,0.5316192
12122,0.092969264
64143,-0.182522907
434233,0.119674016
19047,0.119674016
67838,-0.096336451
70573,0.030393769
20256,0.109424128
243834,0.039846422
14389,0.161021422
23790,-0.11530651
52440,-0.128260456
13034,-0.795164316
29811,-0.632213145
52535,0.11603265
268739,0.14870492
50767,-0.066467288
94178,-0.023890571
102098,-0.501522532
109333,-0.157885292
12489,0.638265804
110826,0.40580317
72310,-1.15765329
20911,0.489106141
20392,-0.37720855
69993,-0.271908513
80707,0.501179836
20492,0.155636777
11826,-0.673975656
56380,-0.533944436
12798,-0.188813946
66420,0.246630652
268379,-0.294652654
17925,-0.033372915
79221,-0.358948367
17085,-0.907296408
18106,-0.571125341
13733,0.578130762
67900,-0.014734941
19335,-0.257225347
53869,0.16649462
217715,0.131439737
78920,0.109594701
18654,-0.162743138
29869,-0.316263059
56221,-0.365034225
110524,-0.123165547
71520,-0.857019005
68942,-0.026266564
26433,0.224133317
11769,0.229394858
26415,0.973536872
20815,-0.104715686
98386,-0.198626599
18008,-0.450021851
94315,-0.065679717
229503,-0.095658147
15191,0.388985295
71803,-0.265147606
50492,-0.098375914
57267,0.135961055
17179,-0.020221864
59004,-0.014568088
26395,0.225785382
52551,0.099909459
69564,-0.582177368
70544,0.085292663
74198,-0.068121832
15507,-0.128470057
54153,-0.026838048
53420,0.028283113
53379,0.038384054
108017,0.902866889
67736,-0.046128008
67873,0.348464739
18749,-0.037825591
27029,-0.188341223
269610,0.220173973
13014,0.393557561
23921,0.41525463
19305,0.21954432
104771,-0.012317017
12505,0.372013589
20511,-0.491712945
27103,0.370714749
22388,0.053690628
117591,-0.286229489
22402,1.083284556
17988,0.325649425
75311,-0.193409046
17159,0.308488806
12224,0.147497048
67836,0.030180549
21672,0.272038531
20020,0.031195487
80886,0.024937837
53419,-0.172413889
231999,0.105465598
66442,0.069353076
327954,-0.300858441
72388,0.202204993
22230,0.029193792
170740,-0.613227114
19116,-0.692956336
56384,-0.033783907
56085,0.082114115
14186,-0.92525622
94332,-0.336639738
56551,0.103956188
20512,-0.64409288
58799,-0.103872683
17688,0.153124508
225055,-0.090859247
58805,0.81286469
27368,0.047041337
66138,0.063899989
18073,0.114827199
17218,0.116453903
15368,-0.397413492
26936,-0.263423463
71722,-0.142304409
18476,0.7575641
50931,-0.751907283
18747,0.050650974
66929,0.45191818
68278,0.214636638
81489,-0.243309199
55993,-0.004838079
227334,0.230283252
67136,0.103013553
13046,0.110880942
68349,0.21341428
18984,-0.304293886
16001,-0.645368382
16337,0.06188861
14128,-0.482846321
13087,-1.077088809
21849,0.30449632
22192,0.208992972
11515,-0.49896202
17260,-0.209700167
22083,-0.072682363
13690,-0.060604891
17540,0.242506633
13026,0.12829041
233410,0.003263919
19185,0.048414356
50874,-0.287354714
23920,-1.108947317
72183,0.003914488
17768,0.243894401
16590,-0.983070915
641376,-0.430451553
12355,0.301548915
103135,0.091586764
12974,0.095405297
11717,-0.198600488
68183,0.048335474
20400,-1.103878322
13018,-0.125376958
56513,0.24285926
11604,-0.361565737
83383,0.267740432
19385,0.128267793
12503,-1.044334093
53970,0.149825451
19172,0.065838894
17394,0.655384119
22785,0.043643603
59010,-0.441640975
18457,-0.289700007
75624,0.131027247
78308,0.06879262
50930,-0.728994237
14465,0.152445912
66409,0.277632246
12789,0.317141558
11789,0.203531006
13476,-0.076656259
66366,0.144782102
56046,-0.128782128
17978,-0.108909794
22026,-0.023962705
22025,0.051567147
77626,-9.91374e-4
71382,0.215509517
18423,-0.609461025
66989,-0.141557072
16407,-0.141669912
83429,-0.052727693
94045,0.74802076
74637,-0.010389232
13845,4.18672e-4
22156,0.193951031
19672,-0.260100034
13419,-0.176059077
68015,0.14970943
74763,-0.165490985
73261,0.393791807
68423,-0.309808159
108989,-0.018321914
226499,0.038135435
96875,0.210870136
71723,-0.031059035
70394,-0.176105961
108124,0.150740624
24068,0.078306605
225372,0.078306605
11951,0.201432647
27681,-0.134178642
66411,-0.107972509
19062,-0.132662384
12929,-0.169975038
67425,0.21426669
216705,0.070533599
68916,-0.116465787
56213,-0.121390528
22642,0.022193968
74202,-0.228720781
29818,-0.393816762
13857,-0.266954679
67119,0.059131991
68473,-0.029216369
110935,-0.889038447
11966,0.484406965
13859,-0.15506825
21745,0.078367881
219022,0.013709973
66246,0.060523482
227290,0.20581758
69660,-0.184627744
76709,0.088539172
75410,0.033178179
58206,0.033155284
109637,-0.432903516
69804,0.223738777
76846,0.481007681
69714,0.160913815
71733,0.017774079
23887,0.404737089
14598,0.278094684
68337,-0.134608131
12925,-0.24570415
12398,-0.934035925
14114,-0.154213851
53328,-0.331978828
26912,0.491892748
14429,0.491892748
21687,-1.019606658
54325,-0.108594299
80509,0.234592715
68180,0.046397955
107995,0.563160324
240913,1.43061983
71740,0.973163225
18637,-0.002432696
81018,0.131543547
77644,-0.099129213
18011,0.776204418
20810,0.412236873
13836,-0.092311243
56275,-0.153569162
70605,0.067109591
52028,-0.142294883
78797,0.081346366
56876,0.055777819
228026,0.423844239
19205,-0.066408094
192156,0.388143444
13057,0.265869347
16426,-0.141768067
69179,0.36988875
54650,0.215317
16424,0.875605257
241113,-1.104627464
11979,0.388760119
20533,-0.477274705
51799,0.618490373
20536,-0.010318575
67177,0.256615157
12395,-0.606446054
30927,0.010285412
11821,0.44412297
14884,0.044515784
15216,-0.206935216
330064,0.333486043
69852,-0.254293529
11803,0.634739254
69232,0.1476298
74443,-0.407850166
71472,0.02359799
18968,-0.024031293
12540,-0.035450675
18771,-0.111181295
210108,-0.807421122
57441,0.095965065
66834,-0.034229509
193452,0.264993792
12567,0.442028867
14421,0.43812845
17299,0.264895211
67125,0.078667612
16573,-0.106677118
78935,0.122284936
94179,0.525818201
12799,-0.380404751
74407,-0.385809784
72043,0.141310487
20656,-0.086834821
71983,-0.048047123
70527,0.040750471
14055,-0.242468144
15114,0.306490654
66180,0.153037719
12387,0.189892515
68969,-0.202371473
12667,0.142555162
21762,0.016616663
22321,0.395167311
27762,0.108391467
15482,0.233323019
70129,0.198953115
17687,0.285354084
193742,0.017951033
18010,0.138131569
51793,-0.260115711
114584,0.086323783
27756,0.21449494
18973,0.407997587
98660,-0.953042739
27222,-0.300387226
12372,-1.007616701
20907,0.064766752
243372,-0.26075486
56788,-1.203310887
18120,-0.125152839
329727,-0.233893035
17169,0.002966649
67210,-0.016804103
12943,0.015841275
17113,-0.020763259
241296,-0.177821441
51792,0.101224395
28113,0.034887858
71099,0.303559558
224907,0.112789611
70359,-0.131773225
21812,0.582662399
26556,0.119765055
114714,0.114551657
12389,-0.91949713
59046,-0.05122616
12048,0.138930629
16549,0.043457031
13371,0.228602106
234388,-0.12084338
12464,0.168749631
66050,0.220572805
78070,0.396711491
13345,-0.791628765
72611,-0.048784843
11848,-0.179462245
328365,-0.192572612
232339,-0.209811151
69748,0.159734023
77134,0.050660818
65116,0.089855222
59013,0.011660896
76411,-0.250177305
15903,-0.140503543
21393,-1.354122595
93760,-0.191772693
12931,0.51537586
13033,0.224768791
56040,0.222034336
208982,-0.222233071
64296,-0.006340696
67286,0.074493032
14365,0.174498644
68041,0.17467164
232910,0.182027828
116701,-0.197838514
74666,-0.215689765
14200,1.000092033
69683,0.114790917
232370,-0.369498999
68628,0.470409535
272382,-0.804096992
55935,0.124533957
67260,-0.542503507
74616,-0.156190092
56698,-0.068925536
21885,-0.069855958
320100,-0.062363819
20639,-0.096527196
22190,-0.007072351
68988,-0.014037344
55942,-0.100578471
52502,-0.123306582
13713,-0.406771236
80517,-0.10120034
108841,0.096567666
621832,0.063124227
68051,0.063124227
14343,1.393469229
67771,0.119184339
18987,-0.387248951
56615,0.217476687
18028,-0.26110905
53868,0.6918144
94232,0.156142354
268859,-1.046038506
20084,0.618487503
434434,0.087219832
110954,0.087219832
267019,0.406034561
52683,0.238794476
15257,-0.22769848
64297,0.42132034
17156,0.20757228
66204,-0.145220405
93671,-0.324931822
15184,-0.024657606
56044,-0.107058122
22335,-0.128620566
242607,-0.76609625
21427,-0.045769561
14390,-0.13727288
12162,-0.367855243
56455,-0.181618492
67466,-0.195307131
223693,-0.294538413
18016,-0.218115196
67178,-0.072105337
14030,0.124207495
11764,-0.132556033
70377,0.774421522
21380,-0.067847631
94044,0.029065303
76964,0.053769137
93838,-0.029087667
20307,1.0064534489999999
69605,-0.155383772
75573,-0.06003595
56843,0.182447724
