MM.Entrez,mean_log2fc
12354,0.3116165876
12355,-0.3666489586000001
12359,-0.1019084080000006
12361,0.39379210480000015
12362,0.4005177397999999
12363,2.0483176558
12364,1.1668809146
12365,0.19097750019999998
12366,-0.7477661375999999
12367,-1.3441573952
12368,-0.5095467687999999
12369,-0.01205155719999988
12370,0.22659546379999998
12371,-0.1280819509999999
12372,1.1658153058000005
12373,0.9603112674000001
12374,0.17891165719999957
12380,-0.2213971835999999
12385,-0.1699392032000006
12387,0.3536238654000002
12388,0.9615298861999999
12389,3.2511320462000004
12390,0.04997676860000003
12391,0.34697920799999976
12393,-0.7277553274000004
12394,-0.41757586239999983
12395,-0.2958710611999999
12396,-0.09777525920000033
12398,-0.6043687887999999
12399,-0.6697491637999999
12400,0.08868365820000047
12401,-0.6672304629999999
12402,-0.5224620911999995
12404,0.09701465220000023
12405,0.17655629439999992
12406,1.9069018796
12408,-0.7715747638000001
12411,-0.10351663720000011
12412,0.02394035399999994
12416,0.023236365400000035
12418,-0.8624342533999997
12419,0.22017059420000018
12421,-0.25731577520000004
12424,0.018259997800000254
12425,0.20910870279999996
12426,-0.024371610399999875
12427,0.09635496719999992
12428,-0.47591356240000027
12442,-0.003827050600000159
12443,-0.05584867360000006
12444,1.2076000481999998
12445,-0.8881899174000001
12447,0.02207085479999975
12448,0.34542006480000004
12449,-0.3060531284
12450,0.36579171320000015
12452,-0.9132562230000005
12453,-0.4876384920000003
12454,-0.2673160621999999
12455,0.009244967199999721
12458,0.5085657965999998
12460,-0.46985671880000035
12461,0.37605739939999977
12462,0.8557655247999996
12464,0.40468709199999964
12465,0.3761126323999999
12466,1.0531984589999996
12467,-0.13242628399999995
12468,-0.11683939199999996
12469,0.4278250474
12475,4.1591259626
12476,-1.0952151392
12477,0.31136963439999976
12478,-1.0488995532
12479,-0.8674148710000005
12481,-0.25916823260000044
12482,-0.20178405600000027
12483,-0.27588978100000006
12487,-1.8500098279999997
12488,0.534391065
12490,2.6465356426
12491,-0.4173534900000003
12492,0.3905784584000006
12493,-0.14402600739999938
12494,1.1917817843999992
12495,1.2385581400000003
12496,0.5734807698000001
12497,-0.1235660072
12499,-0.4739354384
12500,-1.4629192139999996
12501,-0.7220935920000002
12502,-1.7627302520000003
12503,-1.3491025998000001
12504,-0.272059535
12505,0.016287043999999504
12506,-0.9236729925999999
12507,-1.7479872473999998
12508,0.6751390619999998
12511,-1.0469862602
12514,0.34791651900000015
12515,0.3579589460000001
12516,-1.4500525112
12517,-1.0918636151999996
12518,-0.7275494442000007
12519,1.6585580488
12520,-1.0888191639999996
12521,-0.6137824867999999
12522,1.8521147681999999
12523,-1.7673623299999999
12524,1.3855643766000003
12525,-1.0798073502000003
12526,-1.9400320992
12527,-1.44468038
12530,0.09025434279999978
12531,-0.39254697400000005
12532,-0.09598718280000007
12534,0.7583067787999997
12539,0.10626125000000004
12540,0.13644839200000014
12544,0.07797356680000007
12545,-0.08031445520000027
12549,-0.060587847599999765
12550,0.28438132760000007
12552,0.6076276906
12554,0.4368841372
12555,-0.05671361119999982
12556,0.1930404342000001
12557,1.3113213542
12558,0.29868151859999975
12560,0.07389440880000002
12561,0.13405994179999983
12562,0.9861014493999999
12563,0.013512722399999788
12564,0.19753544760000005
12565,-0.015043854200000062
12566,-0.14538280480000002
12567,0.2319439935999997
12568,0.036276108200000046
12569,-0.15171952860000032
12570,-0.033738997799999934
12571,-0.36286584980000003
12572,0.20743317219999988
12575,1.8671541304000003
12576,-0.9352345701999998
12577,0.7287431489999999
12578,-0.07406940899999981
12579,0.31087610760000006
12580,-0.3423278324000004
12581,-0.0904658915999999
12583,1.2033923378
12585,-0.3049780559999995
12587,0.11076585700000001
12589,0.09955077320000001
12590,0.012220431800000053
12591,-0.12478602760000028
12592,0.003627195399999912
12593,-0.4112001928000003
12606,0.2942047482000002
12607,0.5519763593999996
12608,1.6706807926
12611,-0.31037114979999975
12613,0.08463773880000006
12614,-0.5200373636
12615,-0.5334459041999999
12616,0.27529255179999995
12617,0.20030416840000026
12622,-0.03239680480000004
12623,-1.0899671917999998
12626,0.22308977939999966
12628,1.5743409730000004
12630,-1.1079900489999999
12631,-0.20772090599999976
12632,0.5666550716000002
12638,0.4091580425999998
12640,0.05915382900000008
12642,1.3247829523999999
12643,0.38939765080000016
12647,0.07003928519999965
12648,0.19570368679999994
12649,0.3039027712000001
12651,-0.11041685380000016
12652,0.13355886939999953
12653,-0.25198714659999977
12654,2.8270042506000004
12659,-0.20142354600000018
12660,0.23469680659999986
12661,0.6100381242000001
12662,0.02697477079999988
12663,-0.3528764632
12667,0.10753883879999986
12669,-0.03316077760000022
12671,0.19264266559999985
12672,-0.15218999559999988
12675,-0.3178016028000002
12677,0.019571917000000195
12683,1.7587920902000003
12684,-0.8421524290000001
12686,0.16454061419999988
12696,-0.4970963782000003
12700,1.6760199334
12702,3.4261846422000004
12703,1.7181032992
12704,0.15420764400000025
12705,0.021328548999999697
12709,0.08988171360000002
12715,3.1159231518
12721,-0.11214508399999978
12723,0.04221367920000015
12724,-0.30673508940000005
12725,-1.0704206987999996
12728,0.27812385560000036
12729,0.33679212500000055
12733,0.00851580460000001
12737,0.6768509812000001
12738,-0.013770789399999837
12739,0.24987543720000022
12740,-0.10542186920000024
12741,0.3323497256000003
12745,0.07037489660000013
12747,-0.16175655420000012
12748,-0.3420709028000001
12750,-0.28111113659999987
12751,0.03037597800000073
12752,-0.07304553000000008
12753,0.5610378902
12757,0.3032864020000002
12764,-0.8640632400000001
12766,-0.9916751753999999
12767,-1.606685788
12768,2.2230708536
12769,-0.7712342296000003
12771,-0.5137654706000001
12772,0.0790950344000002
12773,0.13507560440000005
12774,1.5034911257999997
12775,-1.6893997952
12776,-0.15703304020000025
12777,-0.02578941279999984
12778,3.3947507552
12780,-0.40257924639999987
12785,0.16424073600000072
12788,-0.3585565584000003
12789,0.2907465226
12793,-0.07938063060000038
12794,-0.10893026919999986
12795,1.1239196662000002
12796,3.9094868382000003
12797,-0.18347119940000006
12798,-1.0681960400000001
12799,-0.7506809699999998
12801,-0.18754773139999995
12802,-0.33538845379999993
12803,-0.09034484460000007
12804,0.01525528059999992
12805,0.5645527637999999
12807,-0.8647098825999999
12808,0.13323946140000004
12810,0.09427345940000002
12812,-0.01261412559999986
12813,0.1443001989999999
12814,0.2785917037999998
12815,-0.095255575
12816,0.13237675840000004
12817,0.22916463479999988
12818,1.5865212263999997
12819,0.5689024306
12821,-0.08538627779999983
12822,0.22876915580000023
12823,-0.07789129399999999
12824,-0.06362453600000002
12825,3.8522803561999996
12826,2.6829259495999995
12827,1.7028659962
12828,0.3608459417999999
12829,0.21210747739999994
12830,0.21823495160000003
12831,0.5305258586000001
12832,1.7073466644000002
12833,2.6744169662
12834,1.1842928234
12835,0.6931743714000002
12836,0.14307913320000004
12837,0.12405531619999996
12839,0.24487732839999993
12840,-0.06563964240000005
12841,0.028635276600000023
12842,1.6827820522
12843,3.1384241248
12845,0.08734271299999978
12846,0.04449177720000019
12847,0.051852258799998906
12848,0.11892155320000022
12850,0.5886445691999997
12854,0.09855543439999988
12856,0.04792239779999966
12857,0.19994490599999964
12858,-0.5742760919999998
12859,0.572383576
12861,-0.15417667399999999
12862,1.625159444
12864,0.02009709400000048
12865,2.6693915386
12866,0.10333566399999974
12867,0.002245458000000511
12868,-0.1843678859999997
12870,1.4901052783999993
12873,-0.3149340486000003
12874,0.7195705122000001
12876,2.7169188566
12877,1.0061246622
12879,-0.1436148619999999
12889,0.13489522359999953
12890,0.21151904660000032
12891,-0.004145893399999968
12892,-0.4436994166000002
12894,-0.4764355256000002
12895,0.6694809287999999
12896,0.23933799060000033
12902,-0.8243123409999995
12903,-0.1479456958
12904,0.04733152839999999
12905,0.07848032160000003
12908,-0.3575039421999998
12909,-0.16121088639999975
12912,-0.4211213673999996
12913,0.060191222600000684
12914,-0.5015690517999996
12915,-0.3065574452
12916,1.4999138401999998
12918,-0.031147184999999942
12919,-0.11232906720000006
12921,-0.06672119799999993
12922,-0.08404678259999976
12925,1.0864276579999999
12927,-0.08936069379999996
12928,0.28585746239999993
12929,-0.34257778040000064
12931,0.16744441180000003
12933,0.028866532800000046
12934,0.2598332458000002
12944,-0.9537461942000001
12945,-0.40478255800000007
12950,-0.052881395200000104
12951,0.06476429779999984
12952,-0.13741956959999974
12953,0.006507481399999737
12954,-0.06941513780000008
12955,4.326112935
12957,-0.014469605000000012
12958,-0.1776241188
12959,-0.009122040000000099
12960,0.04694707519999993
12961,-0.03741102499999993
12962,-0.021521232800000338
12964,-0.12067110359999995
12965,0.020161555799999852
12966,0.020161555799999852
12967,0.10005414279999965
12970,-0.13712670059999982
12971,0.8350382726000001
12972,0.28238461640000007
12974,0.41489591579999996
12977,1.1109376034
12978,0.17531727100000008
12981,0.6663173671999999
12982,0.5514030426000007
12985,1.5334067104
12986,0.1912571087999996
12988,-0.6763801678000003
12991,0.05249220220000019
12994,-0.05667444979999976
12995,0.0958514555999997
13000,0.18731077440000035
13001,-0.12717891220000016
13002,0.00393738300000059
13003,2.6689634832
13004,0.014732016399999635
13006,0.0989503082000002
13007,-1.4733175146000002
13008,0.5494863446
13009,1.2311617279999996
13010,-0.21266807399999976
13011,-1.1411226204000005
13012,0.18455494200000003
13013,0.5643906805999999
13014,1.2514287392
13016,-0.12091134520000006
13017,0.34861567859999987
13018,-0.7044869927999997
13019,0.45074877500000027
13026,-0.21664295679999962
13030,-0.25314978999999943
13032,0.7590786783999999
13033,-0.43250712999999974
13034,-0.7821549876000002
13035,0.5351476902000003
13036,-0.06563941520000005
13038,1.2145461100000001
13039,1.2711145572
13040,0.27976426599999976
13041,-1.3563884292000004
13043,0.09521452280000048
13046,-0.3737295579999998
13047,-0.4065849964000005
13048,0.04449140520000031
13051,-1.2743472668
13052,0.25046539600000006
13056,1.1031976084
13057,0.10609850780000014
13058,0.5304223265999998
13070,-0.3841030398000001
13072,0.0016075441999996443
13074,-0.029123852199999856
13075,0.12855291700000002
13076,0.24978950660000016
13077,-1.3075942299999999
13078,2.0753468787999996
13079,0.0739184026
13081,-0.15257742540000002
13082,-0.5682875644000003
13088,-0.009146537199999777
13106,-0.6649179208000001
13107,2.7649794326
13110,0.1712255004
13115,-0.07378435400000002
13116,0.14087041980000006
13120,-0.2734571404000004
13121,0.7604102269999998
13122,0.15938131419999987
13123,-0.07927806199999998
13124,-0.4195346296000001
13131,0.005659432400000053
13132,3.1398084802
13134,0.47819164940000014
13135,0.00982875719999969
13138,0.2658390690000002
13139,-1.1892239137999998
13142,0.05431024539999996
13143,-0.43105884460000005
13144,-0.1083662638000002
13162,-0.30554895380000036
13163,-0.16080715699999998
13164,-0.06993353939999984
13166,-0.05451752820000008
13167,0.8525750050000003
13169,-0.1936420274000003
13170,0.020159031400000128
13171,-0.10665899500000009
13172,-0.13842205140000025
13175,0.3239350523999998
13176,-0.14138069060000014
13177,0.34643694359999966
13178,-0.7551872307999998
13179,4.4071275482
13180,-0.6040233814
13190,0.01377491400000004
13191,0.024601541600000238
13193,-0.16526865860000012
13194,0.12118158599999942
13195,0.2471219380000001
13196,-1.2692240613999999
13197,-0.38854982400000004
13198,-0.12051921899999998
13199,0.11604439080000013
13200,0.24579799079999953
13202,-0.3465641164
13204,0.5936975625999998
13205,0.8316124139999996
13206,-0.1314805483999999
13207,0.5792248143999998
13209,0.02277411939999964
13211,0.2119478951999998
13244,0.22592522860000028
13340,0.5541458990000001
13345,0.16197026399999997
13346,0.9325973148000001
13347,-0.49475882099999974
13350,1.6449601073999998
13353,0.45849538860000016
13356,-0.2091983255999999
13358,0.7879865738000003
13360,-0.8586832725999998
13361,-0.21991503979999968
13363,-0.23335675840000025
13368,-0.6088986066000001
13370,-1.1031558760000002
13371,0.1677704896
13380,0.27826534159999994
13382,1.0042199862
13383,-0.10545443939999988
13384,0.17881090260000027
13385,-0.16201541960000015
13386,-0.1453052782
13388,0.08188468259999977
13389,-0.02126766520000007
13390,-0.12364729259999993
13392,-0.0978110791999999
13393,-0.08767577900000008
13394,0.005605493400000239
13395,0.12508264119999984
13396,0.005688691799999912
13400,-0.30927792399999987
13401,0.48079671720000017
13404,0.24382280319999997
13405,0.3586713733999998
13406,0.4268489379999999
13409,-0.010309478999999833
13411,-0.022666654399999858
13417,-0.3885691821999998
13418,0.13964429420000002
13419,-0.09952602460000019
13421,-0.058469535800000076
13423,-0.5898139739999998
13424,-0.1117884482000012
13426,0.20670535439999993
13427,0.23748813679999933
13429,0.2884920998
13430,-0.0730320140000007
13433,-0.36586027019999995
13434,-0.0069785147999999715
13435,-0.5826441381999998
13436,-0.027983328800000085
13437,0.6762931821999996
13445,0.20519568120000034
13446,0.08204024340000034
13447,-0.12880987839999972
13448,-0.6991428382
13449,-0.11360410300000012
13476,-0.26579728440000033
13478,0.040042667000000184
13479,0.7041978702
13481,-0.08085678559999998
13482,-0.19470174180000002
13483,0.5169631038
13486,0.2169467919999999
13487,0.2882323686000001
13489,0.1898397348000001
13490,-0.044568220199999765
13491,-0.2848892604000003
13494,0.1693332242
13495,0.30788445860000024
13496,0.11654456019999984
13497,0.15440069319999986
13498,-0.24229242980000015
13505,0.015345234800000012
13506,0.02898137120000025
13507,-0.05838776619999971
13508,0.0524346134000002
13511,1.1100439910000002
13512,-0.15459050160000007
13516,0.19839732279999983
13521,-0.2930783357999999
13522,-0.15879290580000002
13524,-0.11205504459999993
13527,0.2446414723999998
13528,0.011241067399999949
13537,-0.038146386999999754
13542,0.13674098600000006
13543,-0.37382022659999997
13544,-0.21356417320000015
13548,-0.4497797608000001
13549,0.06303091819999995
13555,-0.0169389788000002
13557,-0.23365922779999998
13559,0.4021863377999999
13560,-0.1868888115999999
13589,0.11185895239999973
13590,-0.15099527700000018
13591,-0.6220072248000005
13592,0.7553490808
13593,0.1614757232000001
13595,-0.3082575876
13599,0.07854910159999999
13601,-0.6524098380000002
13602,1.8858073826
13603,0.13313007619999961
13605,0.2633249885999998
13607,0.06375669680000012
13608,0.21308075659999998
13609,-0.7753314258000004
13610,2.1577574368000003
13611,-1.0883591904
13612,0.12028714980000003
13614,0.3576957128000001
13615,-0.21930228499999985
13616,-0.19144068459999986
13617,0.046181550800000276
13618,0.08109554699999975
13619,-0.2368887486000002
13626,0.1394491030000003
13628,0.8444435609999996
13629,-0.1809763159999999
13631,-0.1809811620000003
13636,0.01872588040000006
13637,0.049260116400000165
13638,0.09463718000000017
13639,0.019854012799999918
13640,0.7454688088000001
13641,0.24107041579999997
13642,0.5376037838000001
13643,0.35803082780000006
13644,0.34431892460000013
13645,0.19811928579999982
13649,-0.10537731540000017
13650,1.0736776264
13653,2.9540525275999996
13654,2.5769664331999995
13655,0.9321721517999999
13656,-0.17933397059999995
13660,1.0919522645999997
13661,0.3463250604
13663,0.018793197000000084
13664,1.8382063977999998
13665,0.7128067143999992
13666,-0.9143735487999998
13667,0.0720812965999999
13669,0.5502996501999998
13680,-0.004269875800000378
13681,1.2991435775999995
13682,-0.11753284600000029
13684,0.8107667777999996
13685,-0.8229560342
13688,-0.47020093219999987
13690,0.17927389400000032
13706,-0.14320384959999988
13709,-0.6050649032
13710,0.06506051100000006
13711,0.16627863420000003
13712,0.10538984120000006
13713,-1.4571520224
13714,-0.4087505624000002
13716,0.18029423659999985
13717,0.6815589627999998
13722,-0.02191137359999933
13723,0.445642342
13726,-0.02338514399999915
13728,-0.24571600920000022
13730,1.7059928436
13731,0.46422342720000015
13732,0.12189263820000029
13796,-0.010115151800000369
13797,-0.14701861899999988
13798,0.180073552
13799,-0.012673829799999758
13801,0.2853579118
13803,0.09934069460000003
13804,0.45596287419999976
13805,0.2851658795999999
13807,0.8043187076
13808,0.780545622
13809,1.6100767331999999
13813,-1.2296248855999998
13819,2.5197445432000003
13829,-0.5778512092000001
13830,-0.7079952780000006
13831,-0.2499800175999997
13835,-0.18046976840000006
13836,0.07764261299999972
13837,0.0695816271999999
13838,0.03565088499999991
13839,0.05333795640000005
13840,-0.041330872600000124
13841,0.094651174
13842,-0.005707890800000115
13844,0.12790747040000028
13845,0.06905709140000002
13846,0.31010843739999994
