gse_id,title,pubmedids,pathogen_type,target_pathogen,target_antigen,vaccine_type,adjuvanted,administration_route,main_sample_source,specific_sample_source,sequencing
GSE198466,Single cell analysis uncovers novel populations of CD4+ T cells associated with antifungal vaccine efficacy,36060075,Fungi,Blastomyces dermatitidis,Bl-Eng2,Subunit,NA,Subcutaneous,Lung,TCD4,scRNAseq
GSE133140,CARD9-associated Dectin-1 and Dectin-2 are Required for Protective Immunity of a Multivalent Vaccine Against Coccidioides posadasii Infection,32358020,Fungi,Coccidioides posadasii,GCP-rCpa1,Subunit,NA,Subcutaneous,Bone marrow,macrophages,Bulk
GSE271485,Innate cells and STAT1-dependent signals orchestrate vaccine-induced protection against invasive Cryptococcus infection,39324785,Fungi,Cryptococcus neoformans,Whole,Attenuated,NA,Intraperitoneal,Lung,NA,Bulk
GSE267045,Effect of mRNA vaccine on Epigenetic and Transcriptomic Profiles of Kupffer Cells (RNA-Seq),39774150,NA,None,OVA,mRNA,NA,Intramuscular,Liver,resident macrophages,Bulk
GSE188659,B cell intrinsic TBK1 is essential for germinal center formation during infection and vaccination,34910106,Protozoa,Malaria,NIP-OVA,Subunit,Alum,Intradermal,Germinal center,B cells,Bulk
GSE129133,Vaccination accelerates hepatic erythropoiesis induced by blood-stage malaria,31996238; 33202767; 35214745,Protozoa,Malaria,Whole,Attenuated,Freund,Subcutaneous,Liver,NA,Microarray
GSE134661,Study of visceral leishmaniasis establishment - Gene expression from (un)infected (non-)vaccinated mouse spleen samples,31849951,Protozoa,Leishmania,CPA162-189-loaded p8-PLGA nanoparticles,Nanovaccine,NA,No information,Spleen,NA,Microarray
GSE111110,Gene expression of liver of vaccination-protected mice in response to early patent infections of Plasmodium chabaudi blood-stage malaria,29843710,Protozoa,Malaria,Whole,Infection,NA,Subcutaneous,Liver,NA,Microarray
GSE164094,Gene expression signatures to the radiation attenuated Schistosome Vaccine,33777004,Protozoa,Schistosome,Whole,Attenuated,NA,Percutaneous,Blood,PBMCs,Microarray
GSE164094,Gene expression signatures to the radiation attenuated Schistosome Vaccine,33777004,Protozoa,Schistosome,Whole,Attenuated,NA,Percutaneous,Skin,NA,Microarray
GSE222444,Gene expression signatures to the radiation attenuated Schistosome Vaccine,,Protozoa,Schistosome,Whole,Attenuated,NA,Percutaneous,Blood,PBMCs,Microarray
GSE134647,Specific targeting of IL-1β activity to CD8+ T cells allows for safe use as a vaccine adjuvant,32714571,Virus,Influenza,Whole,Inactivated,Addavax,Intramuscular,Lung,NA,Bulk
GSE134647,Specific targeting of IL-1β activity to CD8+ T cells allows for safe use as a vaccine adjuvant,32714571,Virus,Influenza,Whole,Inactivated,Addavax,Intravenous,Lung,NA,Bulk
GSE134647,Specific targeting of IL-1β activity to CD8+ T cells allows for safe use as a vaccine adjuvant,32714571,Virus,Influenza,Whole,Inactivated,Addavax,Intramuscular,Lymph node,NA,Bulk
GSE134647,Specific targeting of IL-1β activity to CD8+ T cells allows for safe use as a vaccine adjuvant,32714571,Virus,Influenza,Whole,Inactivated,Addavax,Intravenous,Lymph node,NA,Bulk
GSE120661,Identification of Biomarkers of Vaccine Reactogenicity,31084714,Virus,HBV,Engerix,Subunit,Alum,Intramuscular,Blood,PBMCs,Microarray
GSE198952,Differential gene expression in W614A-3S peptide-specific B cell populations following W614A-3S peptide-KLH vaccination using Squalene emulsion and Alum formulation,35464449,Virus,HIV,Peptide,Subunit,Alum,Intramuscular,Lymph node,B cells,RT-PCR
